label,poly_slug,kalshi_ticker,side 
BAL vs CIN - BAL win,nfl-bal-cin-2025-12-14,KXNFLGAME-25DEC14BALCIN-BAL,same
BAL vs CIN - CIN win,nfl-bal-cin-2025-12-14,KXNFLGAME-25DEC14BALCIN-CIN,complement
